"";"Bairro";"QtdHomicidios";"Populacao";"Taxa";"long";"lat"
"1";"Antares";5;17165;29,1;-35,738028;-9,577815
"2";"Barro Duro";4;14431;27,7;-35,721523;-9,617332
"3";"Bebedouro";1;10103;9,9;-35,752979;-9,626463
"4";"Benedito Bentes";55;88084;62,4;-35,713;-9,562
"5";"Bom Parto";1;12841;7,8;-35,7447577016737;-9,64873379328707
"6";"Centro";6;2812;213,4;-35,738145;-9,666434
"7";"Chã da Jaqueira";4;16617;24,1;-35,74748;-9,617789
"8";"Chã de Bebedouro";2;10541;19;-35,757627;-9,618857
"9";"Cidade Universitária";38;71441;53,2;-35,76243;-9,541423
"10";"Clima Bom";17;55952;30,4;-35,789788;-9,574115
"11";"Cruz das Almas";1;11708;8,5;-35,699662;-9,629404
"12";"Farol";1;16859;5,9;-35,735212;-9,643961
"13";"Feitosa";13;30336;42,9;-35,725683;-9,62215
"14";"Fernão Velho";2;5752;34,8;-35,785728;-9,589672
"15";"Garça Torta";1;1635;61,2;-35,664504;-9,584628
"16";"Gruta de Lourdes";1;14283;7;-35,732513;-9,620626
"17";"Guaxuma";6;2481;241,8;-35,67132;-9,590762
"18";"Ipioca";2;7580;26,4;-35,593952;-9,503792
"19";"Jacarecica";3;5742;52,2;-35,68943;-9,612785
"20";"Jacintinho";37;86514;42,8;-35,71612;-9,63598
"21";"Jaraguá";1;3211;31,1;-35,722916;-9,672253
"22";"Jardim Petrópolis";1;5081;19,7;-35,7420256820052;-9,59741670061209
"23";"Jatiúca";4;38027;10,5;-35,70518;-9,647402
"24";"Levada";10;10882;91,9;-35,74477;-9,658043
"25";"Mangabeiras";1;4166;24;-35,71398;-9,646471
"26";"Ouro Preto";3;6224;48,2;-35,731098;-9,603343
"27";"Pajuçara";2;3711;53,9;-35,71422;-9,66754
"28";"Pinheiro";2;19062;10,5;-35,741897;-9,632636
"29";"Pitanguinha";1;4789;20,9;-35,7325448087243;-9,63490560300347
"30";"Poço";11;20776;52,9;-35,72297;-9,660515
"31";"Ponta Grossa";4;21796;18,4;-35,758445;-9,661037
"32";"Pontal da Barra";2;2478;80,7;-35,769394;-9,687811
"33";"Prado";4;17763;22,5;-35,7488070855366;-9,67043536839481
"34";"Riacho Doce";5;5218;95,8;-35,656131;-9,564885
"35";"Rio Novo";4;7310;54,7;-35,807038;-9,57798
"36";"Santa Amélia";4;10649;37,6;-35,772186;-9,591043
"37";"Santa Lúcia";5;26061;19,2;-35,8;-9,58
"38";"Santo Amaro";1;1927;51,9;-35,7420598926144;-9,60915739162133
"39";"Santos Dumont";10;20471;48,8;-35,789655;-9,548585
"40";"São Jorge";2;8445;23,7;-35,7038395190758;-9,61599076799084
"41";"Serraria";4;22675;17,6;-35,7224174667496;-9,60520122857353
"42";"Tabuleiro do Martins";16;64755;24,7;-35,765279;-9,574352
"43";"Trapiche da Barra";12;25303;47,4;-35,759797;-9,673803
"44";"Vergel do Lago";13;31538;41,2;-35,71918;-9,654938
