nome,long,lat
Santa Lúcia,-35.80000,-9.580000
Cidade Universitária,-35.76243,-9.541423
Benedito Bentes,-35.71300,-9.562000
Jacintinho,-35.71612,-9.635980
Pajuçara,-35.71422,-9.667540
Jacarecica,-35.68943,-9.612785
Petrópolis,-35.75460,-9.602227
Mangabeiras,-35.71398,-9.646471
Vergel do Lago,-35.71918,-9.654938
Guaxuma,-35.671320,-9.590762
Cruz das Almas,-35.699662,-9.629404
Tabuleiro do Martins,-35.765279,-9.574352
Fernão Velho,-35.785728,-9.589672
Levada,-35.744770,-9.658043
Ipioca,-35.593952,-9.503792
Barro Duro,-35.721523,-9.617332
Trapiche da Barra,-35.759797,-9.673803
Rio Novo,-35.807038,-9.577980
Santa Amélia,-35.772186,-9.591043
Clima Bom,-35.789788,-9.574115
Antares,-35.738028,-9.577815
Ponta Grossa,-35.758445,-9.661037
Pontal da Barra,-35.769394,-9.687811
Chã da Jaqueira,-35.747480,-9.617789
Ponta da Terra,-35.714745,-9.663969
Jatiúca,-35.705180,-9.647402
Zona Rural,-35.,-9.
Santos Dumont,-35.789655,-9.548585
Riacho Doce,-35.656131,-9.564885
Bebedouro,-35.752979,-9.626463
Centro,-35.738145,-9.666434
Jaraguá,-35.722916,-9.672253
Poço,-35.722970,-9.660515
Garça Torta,-35.664504,-9.584628
Chã de Bebedouro,-35.757627,-9.618857
Ouro Preto,-35.731098,-9.603343
Farol,-35.735212,-9.643961
Pinheiro,-35.741897,-9.632636
Feitosa,-35.725683,-9.622150
Gruta de Lourdes,-35.732513,-9.620626
Serraria, -35.72241746674964, -9.605201228573533
São Jorge, -35.70383951907584, -9.615990767990839
Santo Amaro, -35.74205989261444, -9.609157391621329
Prado, -35.74880708553659, -9.670435368394806
Pitanguinha, -35.732544808724256, -9.634905603003466
Jardim Petrópolis, -35.742025682005206, -9.597416700612088
Bom Parto, -35.74475770167373, -9.648733793287066
